Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,flavipes
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,flavipes
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,godmani
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,leo
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,minimus
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,stuartii
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,subtropicus
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,swainsonii
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Micromurexia,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Micromurexia,,habbema
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Murexechinus,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Murexechinus,,melanurus
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Murexia,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Murexia,,longicaudata
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Paramurexia,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Paramurexia,,rothschildi
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Phascomurexia,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Phascomurexia,,naso
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Phascogale,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Phascogale,,calura
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Phascogale,,tapoatafa
DASYUROMORPHIA,,,,Dasyuridae,Sminthopsinae,,,,
DASYUROMORPHIA,,,,Dasyuridae,Sminthopsinae,Sminthopsini,,,
DASYUROMORPHIA,,,,Dasyuridae,Sminthopsinae,Sminthopsini,Antechinomys,,
DASYUROMORPHIA,,,,Dasyuridae,Sminthopsinae,Sminthopsini,Antechinomys,,laniger
DASYUROMORPHIA,,,,Dasyuridae,Sminthopsinae,Sminthopsini,Ningaui,,
DASYUROMORPHIA,,,,Dasyuridae,Sminthopsinae,Sminthopsini,Ningaui,,ridei
DASYUROMORPHIA,,,,Dasyuridae,Sminthopsinae,Sminthopsini,Ningaui,,timealeyi
DASYUROMORPHIA,,,,Dasyuridae,Sminthopsinae,Sminthopsini,Ningaui,,yvonnae
DASYUROMORPHIA,,,,Dasyuridae,Sminthopsinae,Sminthopsini,Sminthopsis,,
DASYUROMORPHIA,,,,Dasyuridae,Sminthopsinae,Sminthopsini,Sminthopsis,,aitkeni
DASYUROMORPHIA,,,,Dasyuridae,Sminthopsinae,Sminthopsini,Sminthopsis,,archeri
DASYUROMORPHIA,,,,Dasyuridae,Sminthopsinae,Sminthopsini,Sminthopsis,,bindi
