Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Micromurexia,,habbema,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Murexechinus,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Murexechinus,,melanurus,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Murexia,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Murexia,,longicaudata,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Paramurexia,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Paramurexia,,rothschildi,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Phascomurexia,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Phascomurexia,,naso,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Phascogale,,,
